State,School district,LEAID,"Total number of  grade 8 students",Number of grade 8 students enrolled in Algebra I,Percentage of grade 8 students enrolled in Algebra I 
SC,SPARTANBURG 06,4503630,816,138,16.91176471
SC,SPARTANBURG 07,4503660,509,137,26.91552063
SC,UNION 01,4503750,325,101,31.07692308
SC,WILLIAMSBURG 01,4503780,325,68,20.92307692
SC,YORK 01,4503810,391,142,36.31713555
SC,YORK 02,4503840,563,329,58.43694494
SC,YORK 03,4503870,1375,420,30.54545455
SC,YORK 04,4503900,993,458,46.12286002
SC,SUMTER 01,4503902,1160,235,20.25862069
SC,JOHN DE LA HOWE,4503903,19,0,0
SC,MARION 10,4503908,343,59,17.20116618
SD,MILBANK SCHOOL DISTRICT 25-4,4600002,77,27,35.06493506
SD,WILMOT SCHOOL DISTRICT 54-7,4600003,14,0,0
SD,HOWARD SCHOOL DISTRICT 48-3,4600025,29,7,24.13793103
SD,ALCESTER-HUDSON SCHOOL DISTRICT 61-1,4600028,10,0,0
SD,DEUEL SCHOOL DISTRICT 19-4,4600036,31,10,32.25806452
SD,BRITTON-HECLA SCHOOL DISTRICT 45-4,4600041,28,0,0
SD,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,4600042,20,16,80
SD,GROTON AREA SCHOOL DISTRICT 06-6,4600045,40,7,17.5
SD,HITCHCOCK TULARE SCHOOL DISTRICT 56-6,4600046,11,0,0
SD,TEA AREA SCHOOL DISTRICT 41-5,4600052,127,63,49.60629921
SD,SISSETON SCHOOL DISTRICT 54-2,4600053,61,11,18.03278689
SD,MCCOOK CENTRAL SCHOOL DISTRICT 43-7,4601026,23,0,0
SD,OLDHAM - RAMONA SCHOOL DISTRICT 39-5,4601027,12,0,0
SD,SELBY AREA SCHOOL DISTRICT 62-5,4601028,12,7,58.33333333
SD,ABERDEEN SCHOOL DISTRICT 06-1,4602070,299,63,21.07023411
SD,HANSON SCHOOL DISTRICT 30-1,4602640,2,0,0
SD,ARLINGTON SCHOOL DISTRICT 38-1,4603720,14,0,0
SD,ARMOUR SCHOOL DISTRICT 21-1,4603780,11,0,0
SD,SANBORN CENTRAL SCHOOL DISTRICT 55-5,4603932,14,0,0
SD,AVON SCHOOL DISTRICT 04-1,4604270,20,0,0
SD,BALTIC SCHOOL DISTRICT 49-1,4604680,34,2,5.882352941
SD,BELLE FOURCHE SCHOOL DISTRICT 09-1,4605610,90,20,22.22222222
SD,BENNETT COUNTY SCHOOL DISTRICT 03-1,4606240,29,0,0
SD,BERESFORD SCHOOL DISTRICT 61-2,4606360,62,21,33.87096774
SD,BIG STONE CITY SCHOOL DISTRICT 25-1,4606960,8,4,50
SD,BISON SCHOOL DISTRICT 52-1,4607050,8,0,0
SD,BON HOMME SCHOOL DISTRICT 04-2,4607400,40,16,40
SD,SOUTH CENTRAL 26-5,4607670,9,0,0
SD,BOWDLE SCHOOL DISTRICT 22-1,4607800,7,0,0
SD,BRANDON VALLEY SCHOOL DISTRICT 49-2,4607950,276,61,22.10144928
SD,BROOKINGS SCHOOL DISTRICT 05-1,4608520,256,52,20.3125
SD,HARDING COUNTY SCHOOL DISTRICT 31-1,4609300,21,0,0
SD,CANISTOTA SCHOOL DISTRICT 43-1,4610320,15,0,0
SD,CANTON SCHOOL DISTRICT 41-1,4610560,73,27,36.98630137
SD,CASTLEWOOD SCHOOL DISTRICT 28-1,4611280,16,0,0
SD,CENTERVILLE SCHOOL DISTRICT 60-1,4611760,14,0,0
SD,CHAMBERLAIN SCHOOL DISTRICT 07-1,4612000,55,15,27.27272727
SD,CHESTER AREA SCHOOL DISTRICT 39-1,4612300,26,0,0
SD,CLARK SCHOOL DISTRICT 12-2,4612940,27,0,0
SD,COLMAN-EGAN SCHOOL DISTRICT 50-5,4614100,18,0,0
SD,COLOME CONSOLIDATED 59-3,4614130,22,0,0
SD,CUSTER SCHOOL DISTRICT 16-1,4616950,68,0,0
SD,DE SMET SCHOOL DISTRICT 38-2,4617850,21,0,0
SD,DELL RAPIDS SCHOOL DISTRICT 49-3,4618120,72,0,0
SD,DOLAND SCHOOL DISTRICT 56-2,4619170,17,0,0
SD,DOUGLAS SCHOOL DISTRICT 51-1,4619410,205,54,26.34146341
SD,DUPREE SCHOOL DISTRICT 64-2,4619450,36,0,0
SD,JONES COUNTY SCHOOL DISTRICT 37-3,4619580,10,0,0
SD,EDGEMONT SCHOOL DISTRICT 23-1,4620850,10,0,0
SD,ELK POINT-JEFFERSON SCHOOL DISTRICT 61-7,4621340,53,18,33.96226415
SD,ELKTON SCHOOL DISTRICT 05-3,4621390,29,6,20.68965517
SD,FREDERICK AREA SCHOOL DISTRICT 06-2,4621400,14,0,0
SD,BRIDGEWATER-EMERY 30-3,4621420,20,2,10
SD,ESTELLINE SCHOOL DISTRICT 28-2,4622410,21,0,0
SD,ETHAN SCHOOL DISTRICT 17-1,4622500,18,0,0
SD,EUREKA SCHOOL DISTRICT 44-1,4622560,10,0,0
SD,FAITH SCHOOL DISTRICT 46-2,4622940,17,0,0
SD,FAULKTON AREA SCHOOLS 24-4,4624030,19,0,0
SD,FLANDREAU SCHOOL DISTRICT 50-3,4624390,42,12,28.57142857
SD,FLORENCE SCHOOL DISTRICT 14-1,4624540,15,0,0
SD,STANLEY COUNTY SCHOOL DISTRICT 57-1,4624850,38,10,26.31578947
SD,FREEMAN SCHOOL DISTRICT 33-1,4625500,24,7,29.16666667
SD,GARRETSON SCHOOL DISTRICT 49-4,4626370,38,0,0
SD,GAYVILLE-VOLIN SCHOOL DISTRICT 63-1,4626490,19,0,0
SD,GETTYSBURG SCHOOL DISTRICT 53-1,4626970,16,0,0
SD,GREGORY SCHOOL DISTRICT 26-4,4629880,33,10,30.3030303
SD,HAAKON SCHOOL DISTRICT 27-1,4630490,18,8,44.44444444
SD,HAMLIN SCHOOL DISTRICT 28-3,4630800,55,19,34.54545455
SD,HARRISBURG SCHOOL DISTRICT 41-2,4631350,247,49,19.83805668
SD,WEST CENTRAL SCHOOL DISTRICT 49-7,4631710,93,0,0
SD,HENRY SCHOOL DISTRICT 14-2,4632340,8,0,0
SD,HERREID SCHOOL DISTRICT 10-1,4632430,14,0,0
SD,HILL CITY SCHOOL DISTRICT 51-2,4633360,35,14,40
SD,EDMUNDS CENTRAL SCHOOL DISTRICT 22-5,4634440,11,0,0
SD,HOT SPRINGS SCHOOL DISTRICT 23-2,4634480,68,13,19.11764706
SD,HOVEN SCHOOL DISTRICT 53-2,4634600,7,0,0
SD,HURON SCHOOL DISTRICT 02-2,4635480,200,59,29.5
SD,IPSWICH PUBLIC SCHOOL DISTRICT 22-6,4636060,35,0,0
SD,IROQUOIS SCHOOL DISTRICT 02-3,4636150,11,0,0
SD,DAKOTA VALLEY SCHOOL DISTRICT 61-8,4636990,107,53,49.53271028
SD,KIMBALL SCHOOL DISTRICT 07-2,4638220,18,4,22.22222222
SD,ANDES CENTRAL SCHOOL DISTRICT 11-1,4639540,14,0,0
SD,MADISON CENTRAL SCHOOL DISTRICT 39-2,4639600,94,27,28.72340426
SD,LAKE PRESTON SCHOOL DISTRICT 38-3,4639990,21,0,0
SD,LANGFORD AREA 45-5,4640860,17,0,0
SD,LEAD-DEADWOOD SCHOOL DISTRICT 40-1,4641300,51,9,17.64705882
SD,LEMMON SCHOOL DISTRICT 52-4,4641520,20,0,0
SD,LENNOX SCHOOL DISTRICT 41-4,4641550,72,23,31.94444444
SD,LEOLA SCHOOL DISTRICT 44-2,4641640,8,0,0
SD,LYMAN SCHOOL DISTRICT 42-1,4644770,27,0,0
SD,TRI-VALLEY SCHOOL DISTRICT 49-6,4644940,57,13,22.80701754
SD,MARION SCHOOL DISTRICT 60-3,4645450,18,0,0
SD,MCINTOSH SCHOOL DISTRICT 15-1,4646260,14,4,28.57142857
SD,MCLAUGHLIN SCHOOL DISTRICT 15-2,4646380,31,0,0
SD,MENNO SCHOOL DISTRICT 33-2,4647100,19,7,36.84210526
SD,MILLER 29-4,4647942,32,0,0
SD,MITCHELL SCHOOL DISTRICT 17-2,4648390,188,37,19.68085106
SD,MONTROSE SCHOOL DISTRICT 43-2,4648780,24,4,16.66666667
SD,MOUNT VERNON SCHOOL DISTRICT 17-3,4649650,18,0,0
SD,NEW UNDERWOOD SCHOOL DISTRICT 51-3,4650670,22,0,0
SD,NEWELL SCHOOL DISTRICT 09-2,4650850,25,0,0
SD,NORTHWESTERN AREA SCHOOL DISTRICT 56-7,4651750,25,0,0
SD,OELRICHS SCHOOL DISTRICT 23-3,4652770,6,0,0
SD,PARKER SCHOOL DISTRICT 60-4,4654270,36,0,0
SD,PARKSTON SCHOOL DISTRICT 33-3,4654300,46,0,0
SD,PIERRE SCHOOL DISTRICT 32-2,4655260,211,106,50.23696682
SD,PLANKINTON SCHOOL DISTRICT 01-1,4655710,26,0,0
SD,RAPID CITY AREA SCHOOL DISTRICT 51-4,4659820,1038,229,22.06165703
SD,REDFIELD SCHOOL DISTRICT 56-4,4660450,43,10,23.25581395
SD,ROSHOLT SCHOOL DISTRICT 54-4,4663360,25,0,0
SD,RUTLAND SCHOOL DISTRICT 39-4,4664140,11,0,0
SD,SCOTLAND SCHOOL DISTRICT 04-3,4665180,16,4,25
SD,OGLALA LAKOTA COUNTY 65-1,4665460,117,0,0
SD,SIOUX FALLS SCHOOL DISTRICT 49-5,4666270,1310,229,17.48091603
SD,SIOUX VALLEY SCHOOL DISTRICT 05-5,4666300,44,0,0
SD,SPEARFISH SCHOOL DISTRICT 40-2,4666930,168,29,17.26190476
SD,MEADE SCHOOL DISTRICT 46-1,4669930,180,53,29.44444444
SD,SUMMIT SCHOOL DISTRICT 54-6,4670140,19,0,0
SD,TIMBER LAKE SCHOOL DISTRICT 20-3,4671880,20,17,85
SD,TODD COUNTY SCHOOL DISTRICT 66-1,4672090,159,27,16.98113208
SD,TRIPP-DELMONT SCHOOL DISTRICT 33-5,4672450,9,0,0
SD,VERMILLION SCHOOL DISTRICT 13-1,4674370,92,49,53.26086957
SD,VIBORG-HURLEY SCHOOL DISTRICT 60-6,4674520,16,7,43.75
SD,WAGNER COMMUNITY SCHOOL DISTRICT 11-4,4675420,60,14,23.33333333
SD,SMEE SCHOOL DISTRICT 15-3,4675600,9,0,0
SD,WALL SCHOOL DISTRICT 51-5,4675660,18,0,0
SD,WARNER SCHOOL DISTRICT 06-5,4676020,16,0,0
SD,WATERTOWN SCHOOL DISTRICT 14-4,4676620,282,106,37.58865248
SD,WAUBAY SCHOOL DISTRICT 18-3,4676680,14,0,0
SD,WAVERLY SCHOOL DISTRICT 14-5,4676740,16,4,25
SD,WEBSTER AREA 18-5,4676990,42,0,0
SD,WESSINGTON SPRINGS SCHOOL DISTRICT 36-2,4677460,23,4,17.39130435
SD,DEUBROOK AREA SCHOOL DISTRICT 05-6,4678300,33,10,30.3030303
SD,WHITE LAKE SCHOOL DISTRICT 01-3,4678510,8,0,0
SD,WHITE RIVER SCHOOL DISTRICT 47-1,4678570,15,4,26.66666667
SD,WILLOW LAKE SCHOOL DISTRICT 12-3,4679350,11,0,0
SD,WINNER SCHOOL DISTRICT 59-2,4679710,54,17,31.48148148
SD,WOLSEY WESSINGTON SCHOOL DISTRICT 02-6,4680100,23,0,0
SD,WOONSOCKET SCHOOL DISTRICT 55-4,4680190,21,0,0
SD,YANKTON SCHOOL DISTRICT 63-3,4680430,210,75,35.71428571
SD,KADOKA AREA SCHOOL DISTRICT 35-2,4680437,25,0,0
SD,PLATTE - GEDDES SCHOOL DISTRICT 11-5,4680438,30,24,80
SD,IRENE - WAKONDA SCHOOL DISTRICT 13-3,4680439,23,4,17.39130435
SD,HIGHMORE-HARROLD 34-2,4680440,16,0,0
SD,MOBRIDGE-POLLOCK 62-6,4680441,46,0,0
TN,HAMBLEN COUNTY,4700001,765,196,25.62091503
TN,ALCOA,4700060,165,31,18.78787879
TN,ANDERSON COUNTY,4700090,537,153,28.49162011
TN,ATHENS CITY SCHOOLS,4700120,175,35,20
TN,TENN SCHOOL FOR BLIND,4700145,14,0,0
TN,TENN SCH FOR DEAF,4700146,13,0,0
TN,ACHIEVEMENT SCHOOL DISTRICT,4700147,664,0,0
TN,SHELBY COUNTY SCHOOLS,4700148,7986,1060,13.27322815
TN,COLLIERVILLE,4700149,592,109,18.41216216
TN,MILLINGTON,4700150,193,27,13.98963731
TN,GERMANTOWN,4700151,455,103,22.63736264
TN,ARLINGTON,4700152,403,121,30.0248139
TN,BARTLETT,4700153,806,144,17.86600496
TN,BEDFORD COUNTY,4700180,641,37,5.772230889
TN,BENTON COUNTY,4700240,174,20,11.49425287
TN,BLEDSOE COUNTY,4700270,145,0,0
TN,BLOUNT COUNTY SCHOOLS,4700300,900,128,14.22222222
TN,BRADLEY COUNTY,4700330,752,66,8.776595745
TN,BRISTOL,4700360,283,0,0
TN,CAMPBELL COUNTY,4700420,408,0,0
TN,CANNON COUNTY,4700450,174,53,30.45977011
TN,CARTER COUNTY,4700510,393,0,0
TN,CHEATHAM COUNTY,4700570,517,128,24.7582205
TN,CHESTER COUNTY,4700600,229,29,12.66375546
TN,CLAIBORNE COUNTY,4700630,325,0,0
TN,CLAY COUNTY,4700660,75,0,0
TN,CLEVELAND,4700690,452,80,17.69911504
TN,COCKE COUNTY,4700750,324,0,0
TN,COFFEE COUNTY,4700780,299,31,10.36789298
TN,CROCKETT COUNTY,4700850,222,0,0
TN,CUMBERLAND COUNTY,4700900,548,0,0
TN,DAYTON,4700930,78,21,26.92307692
TN,DECATUR COUNTY,4700960,158,0,0
TN,DEKALB COUNTY,4700990,220,0,0
TN,DICKSON COUNTY,4701020,612,134,21.89542484
TN,DYER COUNTY,4701050,329,63,19.14893617
TN,DYERSBURG,4701080,198,20,10.1010101
TN,ELIZABETHTON,4701110,202,0,0
TN,ETOWAH,4701140,35,4,11.42857143
TN,FAYETTE COUNTY,4701170,265,0,0
TN,FAYETTEVILLE,4701200,98,22,22.44897959
TN,FENTRESS COUNTY,4701230,206,0,0
TN,FRANKLIN SSD,4701260,373,55,14.74530831
TN,FRANKLIN COUNTY,4701290,419,0,0
TN,BRADFORD,4701390,34,0,0
TN,GIBSON CO SP DIST,4701400,331,0,0
TN,GILES COUNTY,4701410,295,11,3.728813559
TN,GRAINGER COUNTY,4701440,292,0,0
TN,GREENE COUNTY,4701470,524,0,0
TN,GREENEVILLE,4701500,215,0,0
TN,GRUNDY COUNTY,4701530,165,0,0
TN,HAMILTON COUNTY,4701590,3011,798,26.50282298
TN,HANCOCK COUNTY,4701620,72,0,0
TN,HARDEMAN COUNTY,4701650,283,0,0
TN,HARDIN COUNTY,4701680,261,0,0
TN,HAWKINS COUNTY,4701740,548,78,14.23357664
TN,HAYWOOD COUNTY SCHOOLS,4701770,215,0,0
TN,HENDERSON COUNTY,4701800,270,0,0
TN,HENRY COUNTY,4701830,198,68,34.34343434
TN,HICKMAN COUNTY,4701860,238,0,0
TN,HOLLOW ROCK - BRUCETON,4701890,46,0,0
TN,HOUSTON COUNTY,4701920,114,0,0
TN,HUMBOLDT CITY SCHOOLS,4701950,88,0,0
TN,HUMPHREYS COUNTY,4701980,229,0,0
TN,HUNTINGDON,4702010,98,0,0
TN,JACKSON COUNTY,4702070,107,0,0
TN,JEFFERSON COUNTY,4702100,548,0,0
TN,JOHNSON CITY SCHOOLS,4702130,603,0,0
TN,JOHNSON COUNTY,4702160,156,0,0
TN,KINGSPORT,4702190,551,137,24.86388385
TN,KNOX COUNTY,4702220,4433,1156,26.07714866
TN,LAKE COUNTY,4702280,63,0,0
TN,LAUDERDALE COUNTY,4702310,349,0,0
TN,LAWRENCE COUNTY,4702340,554,0,0
TN,LEBANON,4702370,393,0,0
TN,LENOIR CITY,4702400,141,0,0
TN,LEWIS COUNTY SCHOOLS,4702430,124,0,0
TN,LEXINGTON CITY SCHOOL SYSTEM,4702460,84,0,0
TN,LINCOLN COUNTY,4702490,287,0,0
TN,LOUDON COUNTY,4702520,420,0,0
TN,MACON COUNTY,4702550,270,0,0
TN,MADISON COUNTY,4702580,869,45,5.178365938
TN,MANCHESTER CITY SCHOOLS,4702610,118,0,0
TN,MARION COUNTY,4702640,308,0,0
TN,MARSHALL COUNTY,4702670,437,0,0
TN,MARYVILLE CITY SCHOOLS,4702700,425,213,50.11764706
TN,MAURY COUNTY,4702760,873,83,9.50744559
TN,MCKENZIE,4702790,105,0,0
TN,MCMINN COUNTY,4702820,414,55,13.28502415
TN,MCNAIRY COUNTY,4702880,363,0,0
TN,MEIGS COUNTY,4702910,147,0,0
TN,MILAN,4702970,149,33,22.14765101
TN,MONROE COUNTY,4703000,393,0,0
TN,CLARKSVILLE-MONTGOMERY COUNTY,4703030,2427,267,11.00123609
TN,MOORE COUNTY,4703060,67,22,32.8358209
TN,MORGAN COUNTY,4703090,248,32,12.90322581
TN,DAVIDSON COUNTY,4703180,5544,1474,26.58730159
TN,NEWPORT,4703210,76,0,0
TN,OAK RIDGE,4703240,368,52,14.13043478
TN,OBION COUNTY,4703270,297,0,0
TN,ONEIDA,4703300,101,0,0
TN,OVERTON COUNTY,4703330,262,31,11.83206107
TN,PARIS,4703360,165,44,26.66666667
TN,PERRY COUNTY,4703390,90,0,0
TN,PICKETT COUNTY,4703420,52,46,88.46153846
TN,POLK COUNTY,4703450,190,0,0
TN,PUTNAM COUNTY,4703480,675,65,9.62962963
TN,RHEA COUNTY,4703510,342,0,0
TN,RICHARD CITY,4703540,23,0,0
TN,ROANE COUNTY,4703590,532,100,18.79699248
TN,ROBERTSON COUNTY SCHOOLS,4703600,874,64,7.322654462
TN,ROGERSVILLE,4703660,66,0,0
TN,RUTHERFORD COUNTY,4703690,3845,430,11.18335501
TN,SCOTT COUNTY,4703720,241,0,0
TN,SEQUATCHIE COUNTY,4703750,175,0,0
TN,SEVIER COUNTY,4703780,1083,115,10.61865189
TN,SMITH COUNTY,4703870,237,0,0
TN,SOUTH CARROLL,4703900,27,0,0
TN,STEWART COUNTY,4703960,178,0,0
TN,SULLIVAN COUNTY,4703990,799,181,22.65331665
TN,SUMNER COUNTY,4704020,2247,0,0
TN,SWEETWATER,4704050,156,0,0
TN,TIPTON COUNTY,4704080,855,215,25.14619883
TN,TRENTON,4704100,94,0,0
TN,TROUSDALE COUNTY,4704170,84,0,0
TN,TULLAHOMA CITY SCHOOLS,4704200,263,71,26.99619772
TN,UNICOI COUNTY,4704230,211,0,0
TN,UNION CITY SCHOOLS,4704260,123,14,11.38211382
TN,UNION COUNTY,4704290,338,0,0
TN,VAN BUREN COUNTY,4704320,61,0,0
TN,WARREN COUNTY,4704350,534,117,21.91011236
TN,WASHINGTON COUNTY DEPARTMENT OF EDUCATION,4704380,590,0,0
TN,WAYNE COUNTY,4704440,164,74,45.12195122
TN,WEAKLEY COUNTY,4704470,332,44,13.25301205
TN,WEST CARROLL SP DIST,4704490,89,0,0
TN,WHITE COUNTY,4704500,294,0,0
TN,WILLIAMSON COUNTY SCHOOLS,4704530,2644,992,37.51891074
TN,WILSON COUNTY,4704550,1226,398,32.46329527
TX,CROSBYTON CISD,4800001,20,0,0
TX,SPUR ISD,4800002,20,4,20
TX,ROCKSPRINGS ISD,4800003,17,0,0
TX,BLACKWELL CISD,4800005,14,2,14.28571429
TX,ASPERMONT ISD,4800006,19,0,0
TX,PANTHER CREEK CISD,4800007,10,0,0
TX,DRIPPING SPRINGS ISD,4800008,401,373,93.01745636
TX,WIMBERLEY ISD,4800009,166,0,0
TX,HAYS CISD,4800010,1402,443,31.59771755
TX,ALVARADO ISD,4800011,273,104,38.0952381
TX,CHISUM ISD,4800012,60,0,0
TX,COLLEGE STATION ISD,4807350,879,387,44.02730375
TX,ABBOTT ISD,4807380,26,0,0
TX,ABERNATHY ISD,4807410,67,22,32.8358209
TX,ABILENE ISD,4807440,1204,319,26.49501661
TX,ACADEMY ISD,4807470,125,25,20
TX,ADRIAN ISD,4807500,13,0,0
TX,AGUA DULCE ISD,4807530,41,12,29.26829268
TX,ALAMO HEIGHTS ISD,4807590,388,231,59.53608247
TX,ALBA-GOLDEN ISD,4807650,58,0,0
TX,ALBANY ISD,4807680,43,16,37.20930233
TX,ALDINE ISD,4807710,4735,333,7.032734952
TX,ALEDO ISD,4807780,426,115,26.99530516
TX,ALICE ISD,4807800,363,15,4.132231405
TX,ALIEF ISD,4807830,3155,645,20.4437401
TX,ALLEN ISD,4807890,1606,729,45.39227895
TX,ALPINE ISD,4807950,69,6,8.695652174
TX,ALTO ISD,4807980,41,12,29.26829268
TX,ALVIN ISD,4808090,1562,101,6.466069142
TX,ALVORD ISD,4808100,49,18,36.73469388
TX,AMARILLO ISD,4808130,2325,421,18.10752688
TX,AMHERST ISD,4808160,8,0,0
TX,ANAHUAC ISD,4808190,87,21,24.13793103
TX,ANDERSON-SHIRO CISD,4808230,66,28,42.42424242
TX,ANDREWS ISD,4808280,279,0,0
TX,ANGLETON ISD,4808310,498,62,12.4497992
TX,ANNA ISD,4808340,204,76,37.25490196
TX,ANSON ISD,4808400,46,6,13.04347826
TX,ANTHONY ISD,4808430,61,20,32.78688525
TX,ANTON ISD,4808460,10,2,20
TX,APPLE SPRINGS ISD,4808490,15,10,66.66666667
TX,AQUILLA ISD,4808520,19,0,0
TX,ARANSAS COUNTY ISD,4808550,256,35,13.671875
TX,ARANSAS PASS ISD,4808580,133,26,19.54887218
TX,ARCHER CITY ISD,4808610,36,0,0
TX,ARGYLE ISD,4808670,202,71,35.14851485
TX,ARLINGTON ISD,4808700,4360,1407,32.2706422
TX,ARP ISD,4808730,55,18,32.72727273
TX,ATHENS ISD,4808870,228,0,0
TX,ATLANTA ISD,4808880,122,30,24.59016393
TX,AUBREY ISD,4808910,168,25,14.88095238
TX,AUSTIN ISD,4808940,5429,1282,23.61392522
TX,AUSTWELL-TIVOLI ISD,4809000,14,0,0
TX,AVALON ISD,4809030,28,0,0
TX,AVERY ISD,4809060,16,0,0
TX,AVINGER ISD,4809090,14,2,14.28571429
TX,AXTELL ISD,4809150,68,14,20.58823529
TX,AZLE ISD,4809200,488,110,22.54098361
TX,BAIRD ISD,4809280,25,2,8
TX,BALLINGER ISD,4809300,70,0,0
TX,BALMORHEA ISD,4809330,10,0,0
TX,BANDERA ISD,4809360,171,36,21.05263158
TX,BANGS ISD,4809390,103,18,17.47572816
TX,BANQUETE ISD,4809410,76,14,18.42105263
TX,BARBERS HILL ISD,4809450,359,47,13.09192201
TX,BARTLETT ISD,4809540,20,4,20
TX,BASTROP ISD,4809570,790,280,35.44303797
TX,BAY CITY ISD,4809630,242,0,0
TX,BEAUMONT ISD,4809670,1241,195,15.71313457
TX,BECKVILLE ISD,4809690,44,15,34.09090909
TX,BEEVILLE ISD,4809720,270,24,8.888888889
TX,BELLEVUE ISD,4809750,13,4,30.76923077
TX,BELLS ISD,4809780,67,23,34.32835821
TX,BELLVILLE ISD,4809810,175,55,31.42857143
TX,BELTON ISD,4809860,837,263,31.42174432
TX,BEN BOLT-PALITO BLANCO ISD,4809870,49,2,4.081632653
TX,BENJAMIN ISD,4809980,8,0,0
TX,BIG SANDY ISD,4810140,59,0,0
TX,BIG SANDY ISD,4810170,34,0,0
TX,BIG SPRING ISD,4810200,317,19,5.993690852
TX,BIRDVILLE ISD,4810230,1734,413,23.8177624
TX,BISHOP CISD,4810260,125,23,18.4
TX,BLANCO ISD,4810320,77,29,37.66233766
TX,BLAND ISD,4810350,42,0,0
TX,BLANKET ISD,4810380,14,0,0
TX,BLOOMBURG ISD,4810440,17,0,0
TX,BLOOMING GROVE ISD,4810470,67,28,41.79104478
TX,BLOOMINGTON ISD,4810500,55,0,0
TX,BLUE RIDGE ISD,4810590,43,0,0
TX,BLUFF DALE ISD,4810620,17,4,23.52941176
TX,BLUM ISD,4810650,26,0,0
TX,BOERNE ISD,4810710,620,263,42.41935484
TX,BOLES ISD,4810740,39,2,5.128205128
TX,BOLING ISD,4810780,92,21,22.82608696
TX,BONHAM ISD,4810800,128,44,34.375
TX,BOOKER ISD,4810830,24,12,50
TX,BORDEN COUNTY ISD,4810860,22,0,0
TX,BORGER ISD,4810890,179,42,23.46368715
TX,BOSQUEVILLE ISD,4810910,40,14,35
TX,BOVINA ISD,4810950,32,0,0
TX,BOWIE ISD,4810990,117,0,0
TX,BOYD ISD,4811010,75,31,41.33333333
TX,BOYS RANCH ISD,4811040,33,0,0
TX,BRACKETT ISD,4811070,55,13,23.63636364
TX,BRADY ISD,4811110,92,0,0
TX,BRAZOSPORT ISD,4811190,904,231,25.55309735
TX,BRECKENRIDGE ISD,4811220,113,14,12.38938053
TX,BREMOND ISD,4811250,29,0,0
TX,BRENHAM ISD,4811280,358,40,11.17318436
TX,BRIDGE CITY ISD,4811310,207,29,14.00966184
TX,BRIDGEPORT ISD,4811340,171,37,21.6374269
TX,FORT ELLIOTT CISD,4811400,13,0,0
TX,BROADDUS ISD,4811430,31,0,0
TX,BROCK ISD,4811460,93,39,41.93548387
TX,BRONTE ISD,4811490,21,0,0
TX,BROOKELAND ISD,4811520,33,18,54.54545455
TX,BROOKESMITH ISD,4811550,13,0,0
TX,BROOKS COUNTY ISD,4811580,107,0,0
TX,BROWNFIELD ISD,4811610,123,0,0
TX,BROWNSBORO ISD,4811640,187,27,14.43850267
TX,BROWNSVILLE ISD,4811680,3448,841,24.39095128
TX,BROWNWOOD ISD,4811700,251,42,16.73306773
TX,BRUCEVILLE-EDDY ISD,4811730,67,17,25.37313433
TX,BRYAN ISD,4811790,1084,296,27.30627306
TX,BRYSON ISD,4811820,17,0,0
TX,BUCKHOLTS ISD,4811850,14,0,0
TX,BUENA VISTA ISD,4811910,12,0,0
TX,BUFFALO ISD,4811990,54,13,24.07407407
TX,BULLARD ISD,4812060,174,35,20.11494253
TX,BUNA ISD,4812090,112,17,15.17857143
TX,BURKBURNETT ISD,4812120,233,60,25.75107296
TX,BURKEVILLE ISD,4812150,20,0,0
TX,BURLESON ISD,4812180,864,233,26.96759259
TX,BURNET CISD,4812220,242,72,29.75206612
TX,BURTON ISD,4812240,32,14,43.75
TX,BYNUM ISD,4812360,21,4,19.04761905
TX,CADDO MILLS ISD,4812390,123,25,20.32520325
TX,CALALLEN ISD,4812420,317,28,8.832807571
TX,CALDWELL ISD,4812460,120,10,8.333333333
TX,CALHOUN COUNTY ISD,4812480,330,66,20
TX,CALLISBURG ISD,4812510,82,12,14.63414634
TX,CALVERT ISD,4812540,7,0,0
TX,CAMERON ISD,4812640,118,29,24.57627119
TX,CAMPBELL ISD,4812660,33,0,0
TX,CANADIAN ISD,4812700,71,19,26.76056338
TX,CANTON ISD,4812750,159,41,25.78616352
TX,CANUTILLO ISD,4812780,436,129,29.58715596
TX,CANYON ISD,4812810,720,169,23.47222222
TX,CARLISLE ISD,4812870,39,8,20.51282051
TX,CARRIZO SPRINGS CISD,4812990,156,39,25
TX,CARROLL ISD,4813020,691,271,39.21852388
TX,CARROLLTON-FARMERS BRANCH ISD,4813050,1808,557,30.80752212
TX,CARTHAGE ISD,4813110,212,41,19.33962264
TX,CASTLEBERRY ISD,4813170,280,42,15
TX,CAYUGA ISD,4813200,33,0,0
TX,CEDAR HILL ISD,4813230,584,130,22.26027397
TX,CELESTE ISD,4813260,44,0,0
TX,CELINA ISD,4813290,185,51,27.56756757
TX,CENTER ISD,4813320,203,27,13.30049261
TX,CENTER POINT ISD,4813350,51,10,19.60784314
TX,CENTERVILLE ISD,4813380,6,0,0
TX,CENTERVILLE ISD,4813410,59,10,16.94915254
TX,CENTRAL HEIGHTS ISD,4813440,89,22,24.71910112
TX,CENTRAL ISD,4813500,120,24,20
TX,LUMBERTON ISD,4813530,294,53,18.02721088
TX,CHANNELVIEW ISD,4813590,651,255,39.17050691
TX,CHANNING ISD,4813620,9,0,0
TX,CHAPEL HILL ISD,4813650,258,47,18.21705426
